TitleID,PlaytimeSeconds,Launches,FirstPlayed,LastPlayed
000480044b414d45,600,4,2026-01-16,2026-01-19
0004800457504b41,540,11,2023-07-09,2025-12-10
000400000cf97300,480,1,2026-01-13,2026-01-13
0004000001fff100,480,5,2022-12-04,2022-12-07
000400000ec60000,480,4,2021-11-07,2022-05-13
0004000002c23200,360,5,2024-03-27,2025-12-14
000400000f0acc00,300,4,2021-10-11,2022-03-10
0004000000a73a00,300,2,2023-07-09,2025-12-15
0004000001111100,240,4,2022-12-04,2022-12-05
0004000000df1100,240,3,2025-01-02,2025-01-02
000400000abba000,180,3,2025-05-08,2026-02-27
000400000fd3ff00,180,1,2021-10-11,2021-10-11
00040000000c7300,120,1,2022-02-24,2022-02-24
0004000004360000,120,1,2023-07-09,2023-07-09
000400000f718300,120,1,2021-11-07,2021-11-07
0004000001610000,120,2,2025-06-24,2025-06-24
0004000000d59100,60,1,2020-05-26,2020-05-26
